ID,Categoria OWASP,Severidade,Nome da Vulnerabilidade,Arquivo,Linhas,Código Problemático,Motivo da Falha,Como Reproduzir,Impacto,Como Resolver,Status,Prioridade
1,A01:2021 - Broken Access Control,CRÍTICA,Ausência Total de Autorização Baseada em Roles,"Todos os Controllers (ColaboradorController.java, BandaController.java, ShowController.java, etc)",Todo o código,"Nenhum uso de @PreAuthorize, @Secured ou validação de roles nos endpoints","Qualquer usuário autenticado pode acessar todos os endpoints, independentemente do seu tipo (PRODUTOR, TECNICO_SOM, TECNICO_LUZ, etc). Um técnico de som pode deletar bandas, um produtor de estrada pode modificar shows de outros produtores.","1. Fazer login como TECNICO_SOM; 2. Acessar DELETE /bandas/1; 3. Sucesso indevido","Escalação de privilégios, modificação/deleção de dados por usuários não autorizados","1. Adicionar roles na entidade CredenciaisUsuarioEntity; 2. Proteger endpoints com @PreAuthorize(""hasRole('ADMIN') or hasRole('PRODUTOR')""); 3. Mapear tipos para roles: PRODUTOR → ROLE_PRODUTOR, TECNICO_* → ROLE_TECNICO",Pendente,ALTA
2,A01:2021 - Broken Access Control,CRÍTICA,Sem Validação de Ownership (Propriedade),AlocacaoController.java,27-32,"@PutMapping(""/{id}/responder"") public ResponseEntity<ResponseAlocacaoDto> responderAlocacao(@PathVariable Long id, @RequestParam StatusAlocacao status)","Não verifica se o usuário autenticado é o dono da alocação. Qualquer usuário pode aceitar/recusar alocações de outros.","1. Login como usuário A (ID 1); 2. Obter alocação do usuário B (ID 2); 3. PUT /alocacoes/5/responder?status=ACEITO; 4. Usuário A consegue responder pela alocação do usuário B","IDOR (Insecure Direct Object Reference) - usuários podem manipular dados de outros","Adicionar validação: if (!alocacaoService.pertenceAoUsuario(id, username)) { throw new AccessDeniedException(""Não autorizado""); }",Pendente,ALTA
3,A01:2021 - Broken Access Control,CRÍTICA,Endpoints de Teste em Produção,NotificacaoController.java,73-95 e 97-106,"@PostMapping(""/teste/websocket"") public ResponseEntity<Map<String, String>> testarWebSocket(@RequestParam String username, @RequestParam String mensagem)","Endpoints de teste expostos sem proteção. Qualquer usuário autenticado pode enviar notificações arbitrárias para qualquer outro usuário.","POST /notificacoes/teste/websocket?username=admin&mensagem=hack","Spam de notificações, engenharia social, phishing interno","Opção 1: Adicionar @Profile(""dev"") aos endpoints; Opção 2: Proteger com @PreAuthorize(""hasRole('ADMIN')"")",Pendente,URGENTE
4,A01:2021 - Broken Access Control,ALTA,WebSocket sem Validação de Roles,WebSocketAuthInterceptor.java,38-42,"if (username != null && jwtTokenManager.validaTokenSomente(token, username)) { attributes.put(""username"", username); return true; }","Valida apenas se o token é válido, não verifica roles/permissões para diferentes canais","N/A","Usuários podem acessar canais WebSocket não autorizados","Extrair roles do token e validar: List<String> roles = jwtTokenManager.getRolesFromToken(token); Adicionar @PreAuthorize nos MessageMapping",Pendente,MÉDIA
5,A02:2021 - Cryptographic Failures,CRÍTICA,Credenciais Hardcoded em Texto Claro,application.properties,29-31,"spring.mail.username=macarimarcelino@gmail.com; spring.mail.password=wyai ulxs bask fxir","Credenciais de email em texto claro no código versionado (Git). App password do Gmail exposto.","1. Acessar repositório Git; 2. Visualizar histórico: git log -p application.properties; 3. Credenciais expostas permanentemente","Acesso total à conta de email, envio de spam, vazamento de dados de recuperação de senha","1. Mover para variáveis de ambiente: spring.mail.username=${MAIL_USERNAME:}; 2. Usar secrets manager (AWS Secrets, Azure Key Vault); 3. Limpar histórico Git com git filter-branch",Pendente,URGENTE
6,A02:2021 - Cryptographic Failures,CRÍTICA,Secret JWT Fraco e Versionado,application.properties,20,"jwt.secret=SGVsbG8tR3JheGEtQVBJLTEyMy1KVVNURVI=","Secret é apenas Base64 de 'Hello-Graxa-API-123-JUSTER' (decodificação trivial). Versionado no Git permite geração de tokens válidos por atacantes.","echo 'SGVsbG8tR3JheGEtQVBJLTEyMy1KVVNURVI=' | base64 -d","Atacante pode gerar tokens JWT válidos para qualquer usuário, bypassando autenticação completamente","1. Gerar secret forte: openssl rand -base64 64; 2. Mover para env: jwt.secret=${JWT_SECRET}; 3. Implementar rotação periódica",Pendente,URGENTE
7,A02:2021 - Cryptographic Failures,CRÍTICA,Banco de Dados Sem Senha,application.properties,4-5,"spring.datasource.username=sa; spring.datasource.password=","H2 database com usuário 'sa' (admin) sem senha. Console H2 habilitado permite acesso direto.","1. Acessar http://localhost:8080/h2-console; 2. JDBC URL: jdbc:h2:file:./data/graxaDB; 3. Username: sa, Password: (vazio); 4. Acesso total ao banco","Leitura/modificação de todos os dados, incluindo senhas hasheadas, tokens, dados pessoais","spring.datasource.password=${DB_PASSWORD:senhaSuperForte123}; spring.h2.console.enabled=${H2_CONSOLE_ENABLED:false}",Pendente,URGENTE
8,A02:2021 - Cryptographic Failures,ALTA,Senhas em Data.sql,data.sql,"8-11, outras","INSERT INTO CREDENCIAIS_USUARIO_ENTITY (..., SENHA, ...) VALUES (..., '$2a$10$senhaHash1', 1)","Hashes de senha de desenvolvimento commitados. Se senhas forem reusadas ou fracas originalmente, facilitam ataques.","Tentar dicionário de senhas comuns contra os hashes commitados","Descoberta de senhas reais se usuários reusaram senhas fracas","1. Não commitar data.sql com dados reais; 2. Usar @Profile(""dev"") para dados de teste; 3. Gerar hashes diferentes para cada ambiente",Pendente,MÉDIA
9,A03:2021 - Injection,CRÍTICA,Path Traversal em Download de Imagens,ImagemService.java,49-55,"public byte[] baixarImagem(String nomeArquivo) throws IOException { Path caminho = Paths.get(pastaUpload).resolve(nomeArquivo); return Files.readAllBytes(caminho); }","Aceita qualquer string como nome de arquivo sem validação. Permite path traversal para ler arquivos do sistema.","curl http://localhost:8080/imagens/download/../../../../../../etc/passwd; curl http://localhost:8080/imagens/download/../../application.properties","Leitura de arquivos sensíveis do sistema, código-fonte, configurações, chaves privadas","Validar: if (nomeArquivo.contains("".."") || nomeArquivo.contains(""/"")) throw SecurityException; Whitelist de extensões; Verificar que path resolvido está dentro da pasta permitida",Pendente,URGENTE
10,A05:2021 - Security Misconfiguration,CRÍTICA,CORS Permite Todas Origens,SecurityConfiguracao.java + WebSocketConfig.java,115 + 32,"configuracao.setAllowedOriginPatterns(Arrays.asList(""*""));","Permite qualquer site fazer requisições à API com credenciais. Expõe a CSRF, vazamento de dados.","Site malicioso em evil.com faz: fetch('http://localhost:8080/colaboradores/1', {credentials: 'include', headers: {'Authorization': 'Bearer ' + stolenToken}})","CSRF, roubo de dados via sites maliciosos, phishing","configuracao.setAllowedOrigins(Arrays.asList(""https://graxa-frontend.com"", ""https://graxa-admin.com"")); Remover setAllowCredentials(true) se não for necessário",Pendente,ALTA
